timestamp,elapsed_s,current_pan,current_tilt,tracker_state,ptz_stage,ptz_velocity,ptz_restless_score,smoothed_person,smoothed_face_id,smoothed_distance,approaching,leaving,presence_duration,absence_duration,npu_stage,active_models,face_name,face_similarity,person_count,tracking_moves,search_moves
1772618114.623,17.5,-19.2,0.0,searching,searching,4.55,0.126,True,unknown,far,False,False,0.5,0.0,face,"yolov8m,scrfd,arcface",Unbekannt,0.356,1,0,4
1772618115.123,18.0,-11.1,0.0,searching,searching,4.55,0.126,True,unknown,far,False,False,0.5,0.0,face,"yolov8m,scrfd,arcface",Unbekannt,0.36,1,0,4
1772618115.623,18.5,-5.6,0.0,searching,searching,4.82,0.18,True,unknown,far,False,False,1.0,0.0,face,"yolov8m,scrfd,arcface",Unbekannt,0.425,1,0,4
1772618116.123,19.0,0.1,0.0,searching,searching,4.82,0.18,True,unknown,far,False,False,1.0,0.0,face,"yolov8m,scrfd,arcface",Unbekannt,0.373,1,0,4
1772618116.623,19.5,4.3,0.0,searching,searching,4.82,0.18,True,unknown,far,False,False,1.0,0.0,face,"yolov8m,scrfd,arcface",Unbekannt,0.409,1,0,4
1772618117.124,20.0,4.3,0.0,searching,searching,4.82,0.18,True,unknown,far,False,False,1.0,0.0,face,"yolov8m,scrfd,arcface",Unbekannt,0.47,1,0,4
1772618117.623,20.5,4.3,0.0,searching,searching,4.92,0.182,True,unknown,far,False,False,1.2,0.0,face,"yolov8m,scrfd,arcface",Unbekannt,0.492,1,0,5
1772618118.123,21.0,0.7,2.3,searching,searching,4.92,0.182,True,unknown,far,False,False,1.2,0.0,face,"yolov8m,scrfd,arcface",Unbekannt,0.457,1,0,5
1772618118.623,21.5,0.0,10.5,searching,searching,4.92,0.182,True,unknown,far,False,False,1.2,0.0,face,"yolov8m,scrfd,arcface",Unbekannt,0.457,1,0,5
1772618119.123,22.0,0.0,15.2,searching,searching,4.92,0.182,True,unknown,far,False,False,1.2,0.0,face,"yolov8m,scrfd,arcface",Unbekannt,0.403,1,0,5
1772618119.623,22.5,0.0,19.8,searching,searching,4.96,0.233,True,unknown,far,False,False,0.8,0.0,face,"yolov8m,scrfd,arcface",Unbekannt,0.362,1,0,5
1772618120.123,23.0,0.0,20.0,searching,searching,4.96,0.233,True,unknown,far,False,False,0.8,0.0,face,"yolov8m,scrfd,arcface",Unbekannt,0.362,1,0,5
1772618120.623,23.5,0.0,20.0,searching,searching,5.03,0.234,True,unknown,far,False,False,0.8,0.0,face,"yolov8m,scrfd,arcface",Unbekannt,0.362,1,0,5
1772618121.124,24.0,0.0,20.0,searching,searching,5.03,0.234,True,unknown,far,False,False,0.8,0.0,face,"yolov8m,scrfd,arcface",Unbekannt,0.362,1,0,5
1772618121.623,24.5,0.0,20.0,searching,searching,5.03,0.234,False,,none,False,False,0.0,1.0,face,"yolov8m,scrfd,arcface",Unbekannt,0.362,1,0,5
1772618122.123,25.0,0.0,20.0,searching,searching,5.03,0.234,False,,none,False,False,0.0,1.0,face,"yolov8m,scrfd,arcface",Unbekannt,0.362,1,0,5
1772618122.623,25.5,0.0,20.0,searching,searching,4.93,0.232,False,,none,False,False,0.0,1.0,face,"yolov8m,scrfd,arcface",Unbekannt,0.362,1,0,5
1772618123.123,26.0,0.0,20.0,searching,searching,4.93,0.232,False,,none,False,False,0.0,1.0,face,"yolov8m,scrfd,arcface",Unbekannt,0.362,1,0,5
1772618123.623,26.5,0.0,20.0,searching,searching,4.84,0.231,False,,none,False,False,0.0,1.8,face,"yolov8m,scrfd,arcface",Unbekannt,0.362,1,0,5
1772618124.123,27.0,0.0,20.0,searching,searching,4.84,0.231,False,,none,False,False,0.0,1.8,face,"yolov8m,scrfd,arcface",Unbekannt,0.362,1,0,6
1772618124.623,27.5,15.3,10.4,searching,searching,4.84,0.231,False,,none,False,False,0.0,1.8,face,"yolov8m,scrfd,arcface",Unbekannt,0.345,1,0,6
1772618125.124,28.0,20.8,6.9,searching,searching,4.84,0.231,False,,none,False,False,0.0,1.8,face,"yolov8m,scrfd,arcface",Unbekannt,0.414,1,0,6
1772618125.623,28.5,28.0,2.5,searching,searching,5.03,0.234,True,unknown,far,False,False,0.3,0.0,face,"yolov8m,scrfd,arcface",Unbekannt,0.325,1,0,6
1772618126.123,29.0,35.3,0.0,searching,searching,5.03,0.234,True,unknown,far,False,False,0.3,0.0,face,"yolov8m,scrfd,arcface",Unbekannt,0.407,1,0,6
1772618126.623,29.5,48.4,0.0,searching,searching,5.38,0.24,True,unknown,far,False,False,0.3,0.0,face,"yolov8m,scrfd,arcface",Unbekannt,0.407,1,0,6
